Date,Genre,Title,Composer,Book,Page #,Notes
7/23/2023,Postlude,Basse De Trompette,Jean-François Dandrieu,A Catholic Organist's Book of Postludes,28,
7/30/2023,Prelude,Opening Voluntary,John Zundel,"Church Organist's Library, Vol 2",22,
7/30/2023,Offertory,Spirit Song,"William Bay, arr. Darrell V. Archer",Piano Worship,24,
7/30/2023,Postlude,March in G Major,Henry Smart,"Church Organist's Library, Vol 2",89,
8/6/2023,Prelude,Partita on I Want to Walk as a Child of the Light - Theme,"Behnke, John",,,
8/6/2023,Offertory,Partita on I Want to Walk as a Child of the Light - Cantabile,"Behnke, John",,,
8/6/2023,Postlude,Partita on I Want to Walk as a Child of the Light - Fantasia,"Behnke, John",,,
8/13/2023,Prelude,Preludio,C. Adolfo Bossi,,14,
8/13/2023,Offertory,Ave Maria,Franz Liszt,The Organists' Manual,126,
8/13/2023,Postlude,"Herr Jesu Christ, dich zu uns wend",Johann Gottfried Walther,The Organists' Manual,130,
8/27/2023,Prelude,Verset,Léon Boëllmann,The Organists' Manual,81,
8/27/2023,Offertory,Christ Jesus Who Maketh Us Glad,Marcel Dupré,The Organists' Manual,80,
8/27/2023,Postlude,Orgelstücke,A. Kehrer,The Organists' Manual,68,
9/3/2023,Prelude,Fugue in G minor,J.S. Bach,The Organists' Manual,164,
9/3/2023,Offertory,"Father, Lift Me Up","Honeytree, arr. Bill George",Piano Worship,27,
9/3/2023,Postlude,God Of Grace,Paul Manz,God of Grace: a Compilation of Favorites for Organ,10,
9/10/2023,Prelude,Prélude modal,Jean Langlais,The Organists' Manual,118,
9/10/2023,Postlude,Now Thank We All Our God,Russell Schulz-Widmar,"Church Organist's Library, Vol 2",32,
9/17/2023,Prelude,Organ Piece in G major,Adolph Hesse,"Church Organist's Library, Vol 1",26,
9/17/2023,Postlude,Toccata in G minor,Johann Pachelbel,IMSLP,,
9/23/2023,Prelude,Trio,Josef Rheinberger,The Organists' Manual,114,
9/23/2023,Postlude,Cornet Voluntary,John Travers,A Catholic Organist's Book of Postludes,22,
10/1/2023,Prelude,Prelude and Fugue in C major,J.S. Bach,Acht Kleine Praeludium und Fuga,,
10/1/2023,Offertory,Nun bitten wir den heiligen Geist,Dietrich Buxtehude,The Organists' Manual,124,
10/1/2023,Postlude,Capriccio,Tarquinio Merula,"Church Organist's Library, Vol 2",60,
10/8/2023,Prelude,"Prelude in B-flat minor, WTC II",Johann Sebastian Bach,,,piano
10/8/2023,Postlude,Deo Gratias,André Raison,A Catholic Organist's Book of Postludes,6,
10/15/2023,Prelude,Voluntary in D major,Samuel Jackson,"Church Organist's Library, Vol 1",19,
10/15/2023,Offertory,"Pastorale on ""Nettleton""",Phil Lehenbauer,Sheet Music Plus,,
10/15/2023,Postlude,Concluding Voluntary,R.G. Thompson,"Church Organist's Library, Vol 2",52,
10/22/2023,Prelude,Reflection,Kerry J. Beaumont,"Church Organist's Library, Vol 1",16,
10/22/2023,Postlude,Vater unser im Himmelreich,J.S. Bach,The Organists' Manual,134,
10/29/2023,Postlude,Nun lasst uns Gott dem Herren,Johann Pachelbel,"Church Organist's Library, Vol 1",78,
